"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Basic: transactions validation","0","0","9","0","0"
"","","Basic: Json-RPC call tests","0","0","90","0","0"
"","","Basic: transfer tests","1","0","23","0","0"
"","","Basic: single user tests","0","0","6","0","0"
