"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Basic: transfer tests","3","1","7","8","0"
"","","Basic: Json-RPC call tests - transactions","0","1","3","0","0"
"","","Basic: Json-RPC call tests","1","1","11","1","0"
"","","Basic: Json-RPC call tests - blocks","0","0","9","0","0"
"","","Basic: single user tests","5","0","1","2","0"
