"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Basic: transfer tests","4","4","4","8","0"
"","","Basic: single user tests","0","0","12","2","0"
"","","Basic: Json-RPC call tests - blocks","0","0","9","0","0"
"","","Basic: Json-RPC call tests - transactions","2","2","1","0","0"
"","","Basic: Json-RPC call tests","3","0","10","1","0"
"","","Basic: Json-RPC call tests - transactions validation","5","0","0","0","0"
