"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Basic: single user tests","0","0","4","2","0"
"","","Basic: Json-RPC call tests","0","0","4","5","0"
"","","Basic: transfer tests","8","1","2","9","0"
"","","Basic: Json-RPC call tests - blocks","0","0","1","2","0"
"","","Basic: Json-RPC call tests - transactions","0","0","1","3","0"
