"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Basic: transfer tests","9","2","9","8","0"
"","","Basic: Json-RPC call tests - blocks","0","0","9","0","0"
"","","Basic: single user tests","0","0","12","2","0"
"","","Basic: Json-RPC call tests","3","1","9","1","0"
"","","Basic: Json-RPC call tests - transactions","1","1","2","0","0"
