"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Basic: Json-RPC call tests","0","0","3","6","0"
"","","Basic: transfer tests","8","0","1","11","0"
"","","Basic: Json-RPC call tests - blocks","0","0","1","2","0"
"","","Basic: Json-RPC call tests - transactions","0","1","0","3","0"
"","","Basic: single user tests","0","0","4","2","0"
