"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Basic: transfer tests","3","3","5","8","0"
"","","Basic: single user tests","11","0","1","2","0"
"","","Basic: Json-RPC call tests","2","1","10","1","0"
"","","Basic: Json-RPC call tests - blocks","0","1","8","0","0"
"","","Basic: Json-RPC call tests - transactions","1","2","1","0","0"
